"","data_name","model_name","stoc","hype","imp","randnum_train","randnum_split","randnum_stoc","epochs","trials","folds","train_time","hype_time","inf_time","date","best_threshold","best_f1_score","accuracy_nothres_nocal","precision_nothres_nocal","recall_nothres_nocal","f1_nothres_nocal","auc_nothres_nocal","av_prec_nothres_nocal","brier_nothres_nocal","pr_auc_nothres_nocal","true_neg_nothres_nocal","false_pos_nothres_nocal","false_neg_nothres_nocal","true_pos_nothres_nocal","accuracy_nothres_cal","precision_nothres_cal","recall_nothres_cal","f1_nothres_cal","auc_nothres_cal","av_prec_nothres_cal","brier_nothres_cal","pr_auc_nothres_cal","true_neg_nothres_cal","false_pos_nothres_cal","false_neg_nothres_cal","true_pos_nothres_cal","accuracy","precision","recall","f1","auc","av_prec","brier","pr_auc","true_neg","false_pos","false_neg","true_pos","lr_max","batch_size","ESPatience","weight_decay","alpha","gamma","nf","fc_dropout","conv_dropout","ks","kss","conv_layers","hidden_size","rnn_layers","cell_dropout","rnn_dropout","max_depth","eta","subsample","colsample_bytree","n_estimators","min_child_weight","reg_alpha","reg_lambda","epochs.1","n_heads","d_ff","encoder_layers","encoder_dropout","learning_rate_init","prop"
"11","order4_645","MLSTMFCN",0.1,"True","True",7,3,4,50,200,2,426.995237366064,65434.0650655851,12.692892785999,"2024-10-16 08:05:57",0.2659946,0.983098591549296,0.99915,1,0.952777777777778,0.975817923186344,0.992985969676397,0.986762677162314,0.00337535251772336,0.986760293064459,19640,0,17,343,0.99915,1,0.952777777777778,0.975817923186344,0.992985969676397,0.986762677162314,0.000885282439346362,0.986760293064459,19640,0,17,343,0.9994,0.997142857142857,0.969444444444444,0.983098591549296,0.992985969676397,0.986762677162314,0.000885282439346362,0.986760293064459,19639,1,11,349,0.0143541650914512,64,10,0.0078797794322256,0.453904097070711,1.05685075484475,NA,0.0700793624089657,NA,NA,"[3, 5, 3]","[128, 256, 256]",60,3,0.366873381150743,0.240919979239499,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,0.018
"12","order4_645","ResNet",0.1,"True","True",7,3,4,50,200,2,538.099338436965,61167.9080589581,31.2477921809768,"2024-10-16 12:35:14",0.60644203,0.998609179415855,0.9999,0.994475138121547,1,0.997229916897507,0.999999717130573,0.999984653161449,0.00296550988443356,0.99998463190544,19638,2,0,360,0.9999,0.994475138121547,1,0.997229916897507,0.999999717130572,0.999984653161449,0.000247390921420919,0.99998463190544,19638,2,0,360,0.99995,1,0.997222222222222,0.998609179415855,0.999999717130572,0.999984653161449,0.000247390921420919,0.99998463190544,19640,0,1,359,0.0150398139823162,64,10,0.0010119164157189,0.381063679047966,1.10599700521823,32,0.0357867336216195,NA,"[3, 5, 7]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,0.018
"13","repeat2_2_var6","InceptionTime",0.1,"True","True",7,3,4,50,200,2,145.274368537939,56358.4767896838,47.1398965240223,"2024-10-14 11:48:37",0.9049315,0.975609756097561,0.9989,0.921985815602837,1,0.959409594095941,0.999826202166628,0.984397349707128,0.0047936306844859,0.984360112529479,19718,22,0,260,0.9989,0.921985815602837,1,0.959409594095941,0.999826202166628,0.984397349707128,0.000898809306743325,0.984360112529479,19718,22,0,260,0.99935,0.952380952380952,1,0.975609756097561,0.999826202166628,0.984397349707128,0.000898809306743325,0.984360112529479,19727,13,0,260,0.0402576886832302,256,10,0.009584790881521,0.389965566883384,1.22624502271036,16,0.245336135770937,0.0005300280588004,"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,0.013
"14","repeat2_2_var6","LSTMAttention",0.1,"True","True",7,3,4,50,200,2,194.558539056103,53151.326701263,47.5184519930044,"2024-10-17 07:53:44",0.87051004,0.947955390334572,0.9971,0.821656050955414,0.992307692307692,0.898954703832753,0.99958167718806,0.965757343760493,0.0330850912141611,0.965660443699481,19684,56,2,258,0.9971,0.821656050955414,0.992307692307692,0.898954703832753,0.99958167718806,0.965757343760492,0.00243067835552268,0.965660443699481,19684,56,2,258,0.9986,0.91726618705036,0.980769230769231,0.947955390334573,0.99958167718806,0.965757343760492,0.00243067835552268,0.965660443699481,19717,23,5,255,0.0023942000869439,128,5,0.0045936759045573,0.490255316470085,2.46626095720672,NA,0.210700065685567,NA,NA,NA,NA,64,1,NA,0.247303725424099,NA,NA,NA,NA,NA,NA,NA,NA,50,16,1024,2,0.198825402970753,NA,0.013
"15","repeat2_2_var6","MLSTMFCN",0.1,"True","True",7,3,4,50,200,2,486.594735408085,101055.985141096,25.0704811069882,"2024-10-14 11:49:12",0.4653546,0.988416988416988,0.99965,0.992217898832685,0.980769230769231,0.986460348162476,0.999715143013015,0.984866399635558,0.00657390766760012,0.984733285699884,19738,2,5,255,0.99965,0.992217898832685,0.980769230769231,0.986460348162476,0.999715337853636,0.984866900140568,0.000403116970612679,0.984733785595486,19738,2,5,255,0.9997,0.992248062015504,0.984615384615385,0.988416988416988,0.999715337853636,0.984866900140568,0.000403116970612679,0.984733785595486,19738,2,4,256,0.0094108261823047,64,10,0.0043831846581622,0.379410337174116,1.45866646783534,NA,0.167086787570004,NA,NA,"[3, 5, 7]","[64, 128, 64]",100,2,0.236423124905431,0.475493893428743,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,0.013
"16","repeat2_2_var6","ResNet",0.1,"True","True",7,3,4,50,200,2,127.490983269992,37402.2378914519,16.5116646399256,"2024-10-18 12:58:28",0.077583835,0.968503937007874,0.99825,1,0.865384615384615,0.927835051546392,0.981894240511262,0.963642743398288,0.00347575035743838,0.963632414261104,19740,0,35,225,0.99825,1,0.865384615384615,0.927835051546392,0.981884498480243,0.963628026680329,0.0014303554812463,0.96361770359363,19740,0,35,225,0.9992,0.991935483870968,0.946153846153846,0.968503937007874,0.981884498480243,0.963628026680329,0.0014303554812463,0.96361770359363,19738,2,14,246,0.0095648962354789,128,5,0.0008689885663904,0.436755770756954,1.04063376257843,32,0.356660241966886,NA,"[3, 5, 7]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,0.013
"17","sensitive_var4_n2_p5","InceptionTime",0.1,"True","True",7,3,4,50,200,2,117.012275559944,44656.4410560653,37.1821868330007,"2024-10-22 08:23:55",0.09843862,1,0.99985,1,0.993377483443709,0.996677740863787,1,1,0.00597481475512414,1,19547,0,3,450,0.99985,1,0.993377483443709,0.996677740863787,1,1,0.00032946734715675,1,19547,0,3,450,1,1,1,1,1,1,0.00032946734715675,1,19547,0,0,453,0.054253280973189,256,5,0.0025738278131824,0.499765904656267,1.1840047466604,16,0.197267828673094,0.0078814745129046,"40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,0.02265
"18","sensitive_var4_n2_p5","LSTMAttention",0.1,"True","True",7,3,4,50,200,2,757.535915802,56306.388051223,45.6775070279837,"2024-10-22 08:20:03",0.9693589,1,1,1,1,1,1,1,0.0469074752740571,1,19547,0,0,453,1,1,1,1,1,1,4.70240243524608e-05,1,19547,0,0,453,1,1,1,1,1,1,4.70240243524608e-05,1,19547,0,0,453,0.0004483904909929,64,10,0.0021311538894562,0.346551420107422,2.14897767560936,NA,0.255295394868093,NA,NA,NA,NA,128,1,NA,0.0589881883439239,NA,NA,NA,NA,NA,NA,NA,NA,50,12,1024,3,0.234380457764081,NA,0.02265
"19","sensitive_var4_n2_p5","MLSTMFCN",0.1,"True","True",7,3,4,50,200,2,163.632398405927,60610.919223059,56.3507751799189,"2024-10-14 11:49:03",0.9807159,0.995594713656388,0.99945,0.978354978354978,0.997792494481236,0.987978142076503,0.999997289602883,0.999885672748701,0.138866957153803,0.999885549090646,19537,10,1,452,0.99945,0.978354978354978,0.997792494481236,0.987978142076503,0.999997289602883,0.999885672748701,0.000635253679709094,0.999885549090646,19537,10,1,452,0.9998,0.993406593406593,0.997792494481236,0.995594713656388,0.999997289602883,0.999885672748701,0.000635253679709094,0.999885549090646,19544,3,1,452,0.0545290305396466,256,10,0.0006134583434253,0.132013711270086,1.80584916838232,NA,0.281798232218395,NA,NA,"[3, 5, 3]","[64, 128, 64]",120,2,0.297469989241992,0.793099376516775,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,0.02265
"20","sensitive_var4_n2_p5","ResNet",0.1,"True","True",7,3,4,50,200,2,319.72946405597,102565.579222692,23.5191316630226,"2024-10-14 11:48:21",0.9994029,0.995575221238938,0.9972,0.891518737672584,0.997792494481236,0.941666666666667,0.999934498736334,0.998667653095137,0.12339536810762,0.99866692258631,19492,55,1,452,0.9972,0.891518737672584,0.997792494481236,0.941666666666667,0.999934498736334,0.998667653095137,0.00233748113734813,0.99866692258631,19492,55,1,452,0.9998,0.997782705099778,0.993377483443709,0.995575221238938,0.999934498736334,0.998667653095137,0.00233748113734813,0.99866692258631,19546,1,3,450,0.0499612431842155,128,10,0.0024699254670036,0.150854437582862,1.90909175184992,128,0.132162249985866,NA,"[3, 5, 7]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,0.02265
